lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
wx2,~,wx1,0.23808686309687838,0.2680653744910688,0.02305846769655068,10.325354929034095,0.0
wx2,~,wy1,0.0762691360766454,0.08885847894226494,0.021626142942414675,3.526710069206767,0.00042075723584411584
wy2,~,wy1,0.21183698277643956,0.23762786592934987,0.023161784583289474,9.145969819619493,0.0
wy2,~,wx1,0.057768206604196994,0.0626238423453221,0.023889346608186767,2.4181576645542053,0.01559931612013199
wx3,~,wx2,0.21393790421865677,0.22339750441572737,0.025910164735758977,8.256910227789529,2.220446049250313e-16
wx3,~,wy2,0.0282758499892728,0.03066625278687875,0.024035288037784232,1.1764306690914559,0.2394228222232604
wy3,~,wy2,0.20792776281037972,0.21721014692901167,0.02497244611853855,8.326287373494267,0.0
wy3,~,wx2,0.07990332402379424,0.08036704738305395,0.025957612311657993,3.0782231840649734,0.0020823889414522956
wx4,~,wx3,0.15729625633523717,0.1625870133141037,0.026723917232668863,5.8859730390521925,3.957188132730494e-09
wx4,~,wy3,0.002785067105879977,0.002988687756667143,0.02451965710271554,0.1135850756027884,0.9095667187197001
wy4,~,wy3,0.21659827476744212,0.22475080111425347,0.025206831679247258,8.592840128225012,0.0
wy4,~,wx3,-0.02862013177937196,-0.028604902422652203,0.026028457771864213,-1.0995707862956705,0.2715191763208269
wx5,~,wx4,0.13619538259888775,0.13745935441311016,0.028533149273171774,4.773233451737201,1.8129143788403468e-06
wx5,~,wy4,-0.009449990367646068,-0.009863746604671311,0.02625383093445079,-0.3599471022297801,0.718886692015229
wy5,~,wy4,0.1650996154137336,0.16056471511734324,0.02820369382371974,5.853829517502011,4.803810460529689e-09
wy5,~,wx4,-0.046434183909524904,-0.043665983205188906,0.028682287640777456,-1.6189149376596712,0.10546556641539673
wx6,~,wx5,0.33030577449808246,0.32139926476763375,0.026153018153389006,12.629738279084645,0.0
wx6,~,wy5,-0.031618197746736895,-0.033019638448180975,0.02318025244516996,-1.36401438337058,0.1725630388321555
wy6,~,wy5,0.1641429919245749,0.16300302885941886,0.02590898320217117,6.335369884545851,2.367726015251037e-10
wy6,~,wx5,0.13638552924493727,0.12619296159277102,0.02757402497803431,4.946159632068112,7.569189544032184e-07
wx7,~,wx6,0.26430384534608,0.24725100298327168,0.02703049998411156,9.777985812014537,0.0
wx7,~,wy6,0.04960271718867773,0.04879798856162109,0.02486503947306721,1.994877878251932,0.04605620079380923
wy7,~,wy6,0.1923220289244855,0.18316877357877673,0.026450854675672552,7.270919268030212,3.5704772471945034e-13
wy7,~,wx6,0.11524446356853385,0.10437118229490146,0.02766723731780547,4.165376623642939,3.108389883843543e-05
X1,~,RIx,1.0,0.5992361496611184,-,-,-
X1,~,wx1,1.0,0.9484057398073861,-,-,-
X2,~,RIx,1.0,0.6002740616840551,-,-,-
X2,~,wx2,1.0,0.8438018220795092,-,-,-
X3,~,RIx,1.0,0.6013027007118223,-,-,-
X3,~,wx3,1.0,0.8094563894394601,-,-,-
X4,~,RIx,1.0,0.609853876381681,-,-,-
X4,~,wx4,1.0,0.794252559380623,-,-,-
X5,~,RIx,1.0,0.6126595174843956,-,-,-
X5,~,wx5,1.0,0.7905695867653154,-,-,-
X6,~,RIx,1.0,0.6021049343306789,-,-,-
X6,~,wx6,1.0,0.7984806425651291,-,-,-
X7,~,RIx,1.0,0.5764346533883509,-,-,-
X7,~,wx7,1.0,0.8171611421311892,-,-,-
Y1,~,RIy,1.0,0.5492260048382771,-,-,-
Y1,~,wy1,1.0,0.9806406947026096,-,-,-
Y2,~,RIy,1.0,0.5492400684381098,-,-,-
Y2,~,wy2,1.0,0.8742294784039235,-,-,-
Y3,~,RIy,1.0,0.5538694372767784,-,-,-
Y3,~,wy3,1.0,0.8439233565267024,-,-,-
Y4,~,RIy,1.0,0.5639481682243374,-,-,-
Y4,~,wy4,1.0,0.8281109749368952,-,-,-
Y5,~,RIy,1.0,0.5523120312855271,-,-,-
Y5,~,wy5,1.0,0.8339303932399966,-,-,-
Y6,~,RIy,1.0,0.549536055675238,-,-,-
Y6,~,wy6,1.0,0.8355417620890586,-,-,-
Y7,~,RIy,1.0,0.5308587750401385,-,-,-
Y7,~,wy7,1.0,0.8474782565349741,-,-,-
wx2,~~,wy2,0.233178768827284,0.31703362849465255,0.01686765649428646,13.824016922116245,0.0
wx2,~~,wx2,0.6384918166245274,0.9016253709978158,0.021547844181318096,29.63135482242192,0.0
wx3,~~,wy3,0.14670206619884527,0.21757588854449547,0.015944461491057937,9.200816614090023,0.0
wx3,~~,wx3,0.6130315124587796,0.9439190448641137,0.021492147724616224,28.523511018310888,0.0
wx4,~~,wy4,0.16234781003753315,0.2582466472540296,0.016393289294050407,9.90330903795802,0.0
wx4,~~,wx4,0.5916445057270304,0.9733022296774121,0.02209609974631215,26.77597008037585,0.0
wx5,~~,wy5,0.10201495598130592,0.15928250277963626,0.016879878203806944,6.0435836528876585,1.507281632839863e-09
wx5,~~,wx5,0.5858389652562052,0.9817230053106591,0.022151525419746892,26.44689041177789,0.0
wx6,~~,wy6,0.1507367216346306,0.2274182597821698,0.01535776943893108,9.815013972192244,0.0
wx6,~~,wx6,0.566593051851446,0.8989579635716771,0.019305639994419324,29.348576477437806,0.0
wx7,~~,wy7,0.2308867692919813,0.3103575387696156,0.017130852691905587,13.477832856948131,0.0
wx7,~~,wx7,0.6697760657656083,0.9299656861984202,0.022131710466447078,30.263185791751773,0.0
RIx,~~,RIy,0.16919666560097849,0.5147095681706763,0.012576463703423966,13.453437275969788,0.0
RIx,~~,RIx,0.3583830398701303,1.0,0.016860956058252254,21.255202766124984,0.0
RIx,~~,wx1,-0.12902635628175593,-0.22747559787185034,0.018581600280505102,-6.9437698759552084,3.817612892476063e-12
RIx,~~,wy1,-0.06884103175256337,-0.11728946158877256,0.017596997668393576,-3.912089610166764,9.150094501353401e-05
RIy,~~,RIy,0.30151690596745645,1.0000000000000002,0.015579469356026743,19.353477262783954,0.0
wx1,~~,wx1,0.8977176969365764,1.0,0.0331574090993956,27.074422317450182,0.0
wx1,~~,RIy,-0.087904615497967,-0.16896079773858344,0.016551819859050645,-5.310873139100128,1.0910125847196639e-07
wy1,~~,wy1,0.9612344053879301,1.0000000000000002,0.0352849837437102,27.24202488918632,0.0
wy1,~~,RIy,-0.13159494752602752,-0.24443800342468114,0.018522393296413572,-7.104640605185895,1.206368338557695e-12
wy1,~~,wx1,0.3630687846850553,0.3908448237351791,0.025871489589279068,14.033547756039317,0.0
wy2,~~,wy2,0.7088856552492817,0.9279787951625075,0.023702031507192457,29.908223478829647,0.0
wy3,~~,wy3,0.6531239517818797,0.933023821600956,0.022303618256083853,29.283318260454937,0.0
wy4,~~,wy4,0.6189599307448274,0.9520333613318543,0.022056023390663173,28.06307917585835,0.0
wy5,~~,wy5,0.6708990646906449,0.9760114698046977,0.02424478231371148,27.67189475995214,0.0
wy6,~~,wy6,0.6628960609341976,0.951020396887587,0.022896586227962274,28.951742163890327,0.0
wy7,~~,wy7,0.7263500162938076,0.9452249026707272,0.024048360403439602,30.203723001411568,0.0
X1,~~,X1,0.0,0.0,-,-,-
Y1,~~,Y1,0.0,0.0,-,-,-
X2,~~,X2,0.0,0.0,-,-,-
Y2,~~,Y2,0.0,0.0,-,-,-
X3,~~,X3,0.0,0.0,-,-,-
Y3,~~,Y3,0.0,0.0,-,-,-
X4,~~,X4,0.0,0.0,-,-,-
Y4,~~,Y4,0.0,0.0,-,-,-
X5,~~,X5,0.0,0.0,-,-,-
Y5,~~,Y5,0.0,0.0,-,-,-
X6,~~,X6,0.0,0.0,-,-,-
Y6,~~,Y6,0.0,0.0,-,-,-
X7,~~,X7,0.0,0.0,-,-,-
Y7,~~,Y7,0.0,0.0,-,-,-
